,Date,TweetURL,User,Source,Location,Tweet,Likes_Count,Retweet_Count,Quote_Count,Reply_Count
4067,2022-08-09 17:51:50+00:00,https://twitter.com/IntruderX6/status/1557062107966984192,IntruderX6,Twitter for Android,"Mwanza, Tanzania",Ngumu ila #Raila anatoboa mzeee https://t.co/dVpoUuA6U8,0,0,0,0
4068,2022-08-09 17:41:00+00:00,https://twitter.com/Urbandaski/status/1557059383208599552,Urbandaski,Twitter for Android,"Nairobi, Kenya","Dennis Itumbi ndiye Fabrizio Romano wa Kenyan elections 
#KenyaDecides2022 #Raila #Ruto",2,0,0,0
4069,2022-08-09 17:33:13+00:00,https://twitter.com/barasafp/status/1557057425353723904,barasafp,Twitter for Android,Bungoma,@citizentvkenya waiting for #Raila to lead for you to show the presidential   results. #justshow bila feelings,0,0,0,0
4070,2022-08-09 17:32:10+00:00,https://twitter.com/Wamalwah254/status/1557057158725918724,Wamalwah254,Twitter for Android,,@DidmusWaBarasa0 Akuna mahali unaenda #Azimio,1,0,0,0
4071,2022-08-09 17:22:05+00:00,https://twitter.com/Najah_M_Adam/status/1557054624523325440,Najah_M_Adam,Twitter for iPhone,Somalia,"#Kenyapolls 

Very high chance for re-run, despite consistent lead by #Raila. https://t.co/pj6VvMlAL2",6,1,0,0
4072,2022-08-09 17:21:19+00:00,https://twitter.com/CodingRaconteur/status/1557054429190410242,CodingRaconteur,Twitter Web App,,#kenya #elections #UDA #Azimio https://t.co/unmMUIjsat,0,0,0,1
4073,2022-08-09 17:17:15+00:00,https://twitter.com/CaneCutter2/status/1557053405624926208,CaneCutter2,Twitter for Android,Nairobi Kenya,"Trust NTV results. Up to date.All the others will kill you before midnight if you are either UDA or #Azimio  supporter..

Ukambani",11,0,0,0
4074,2022-08-09 17:05:43+00:00,https://twitter.com/das_crazyyyyy/status/1557050503464378368,das_crazyyyyy,Twitter for Android,,@bonnkewest Gini wase kaw!!!😭 Nisameheni sijui how to to spell luo😭🥲💙💙💙💙🔵🔵🔵🔵🔵🔵🔵🔵🔵#azimio #luo  #RailaAmoloOdinga #railathe5th,3,0,0,0
4075,2022-08-09 17:04:53+00:00,https://twitter.com/AbdallahRaphat/status/1557050295485702145,AbdallahRaphat,Twitter for Android,Mombasa,"#azimio wacheni kulazimisha ushindi, punda amechoka #mombasa #mvita #iebc have failed us. https://t.co/T9ptgO1vaJ",2,1,0,0
4076,2022-08-09 17:03:36+00:00,https://twitter.com/DjamaMAli/status/1557049970414559237,DjamaMAli,Twitter for iPhone,"Geneva, Switzerland","#Raila #Odinga is currently leading. If he wins,I think it will be  disastrous for #Somalia 🇸🇴.I met him and had discussion with him.His vision or views on Somali issues are catastrophic.I hope,as president he will have different approach than his previous believes. #Kenya #AU",1,0,0,0
4077,2022-08-09 16:52:53+00:00,https://twitter.com/Missgiddei/status/1557047274638827521,Missgiddei,Twitter for Android,Nairobi,"Oya! Before mpost huto tuvidole, si mjipake mafute aki! Because.....!😳 Weuh!!! 🤭#Kenyadecides #Ruto #Azimio",0,0,0,0
4078,2022-08-09 16:27:56+00:00,https://twitter.com/EUGENEMWANZA4/status/1557040996478816256,EUGENEMWANZA4,Twitter for Android,"Kakamega, Kenya",@Wetangulam @MusaliaMudavadi @Cleophasmalala @NationBreaking Wetangula We are Sorry #Azimio,0,0,0,0
4079,2022-08-09 16:23:57+00:00,https://twitter.com/Robaa82/status/1557039995290001408,Robaa82,Twitter for Android,Kenya,"Don't dwell so much on what #Raila got in Nyanza or what #Ruto will got in Kalenjin Rvalley..
What will tell u the winner is what they get outside their tribal line https://t.co/oytuoCwOY2",12,1,0,2
